year,state,state_po,state_ic,office,candidate,party,candidatevotes,totalvotes
1976,Arizona,AZ,61,US Senate,Sam Steiger,republican,321236,741210
1976,Arizona,AZ,61,US Senate,Wm. Mathews Feighan,independent,1565,741210
1976,Arizona,AZ,61,US Senate,Dennis DeConcini,democrat,400334,741210
1976,Arizona,AZ,61,US Senate,Allan Norwitz,libertarian,7310,741210
1976,Arizona,AZ,61,US Senate,Bob Field,independent,10765,741210
1976,California,CA,71,US Senate,Jack McCoy,american independent,82739,7470586
1976,California,CA,71,US Senate,S. I. (Sam) Hayakawa,republican,3748973,7470586
1976,California,CA,71,US Senate,John V. Tunney,democrat,3502862,7470586
1976,California,CA,71,US Senate,Omari Musa,independent,31629,7470586
1976,California,CA,71,US Senate,David Wald,peace and freedom,104383,7470586
1976,Connecticut,CT,1,US Senate,"Lowell P. Weicker, Jr.",republican,785683,1361666
1976,Connecticut,CT,1,US Senate,scatter,,558,1361666
1976,Connecticut,CT,1,US Senate,Robert Barnabei,american independent,14407,1361666
1976,Connecticut,CT,1,US Senate,Gloria Schaffer,democrat,561018,1361666
1976,Delaware,DE,11,US Senate,Thomas C. Maloney,democrat,98042,224795
1976,Delaware,DE,11,US Senate,"William V. Roth, Jr.",republican,125454,224795
1976,Delaware,DE,11,US Senate,Donald G. Gies,american,646,224795
1976,Delaware,DE,11,US Senate,John A. Massimilla,prohibition,216,224795
1976,Delaware,DE,11,US Senate,Joseph F. McInerney,none,437,224795
1976,Florida,FL,43,US Senate,Lawton Chiles,democrat,1799518,2857534
1976,Florida,FL,43,US Senate,scatter,,130,2857534
1976,Florida,FL,43,US Senate,John Grady,republican,1057886,2857534
1976,Hawaii,HI,82,US Senate,Spark M. Matsunaga,democrat,162305,302092
1976,Hawaii,HI,82,US Senate,James D. Kimmel,independent,1433,302092
1976,Hawaii,HI,82,US Senate,William Quinn,republican,122724,302092
1976,Hawaii,HI,82,US Senate,Anthony N. Hodges,prohibition,14226,302092
1976,Hawaii,HI,82,US Senate,Rockne Johnson,libertarian,1404,302092
1976,Indiana,IN,22,US Senate,Richard G. Lugar,republican,1275833,2161187
1976,Indiana,IN,22,US Senate,Vance Hartke,democrat,868522,2161187
1976,Indiana,IN,22,US Senate,Don L. Lee,independent,14321,2161187
1976,Indiana,IN,22,US Senate,David Lee Hoagland,u.s. labor,2511,2161187
1976,Maine,ME,2,US Senate,Robert A. G. Monks,republican,193489,486193
1976,Maine,ME,2,US Senate,Edmund S. Muskie,democrat,292704,486193
1976,Maryland,MD,52,US Senate,"J. Glenn Beall, Jr.",republican,530439,1365290
1976,Maryland,MD,52,US Senate,Paul S. Sarbanes,democrat,772101,1365290
1976,Maryland,MD,52,US Senate,Bruce Bradley,independent,62750,1365290
1976,Massachusetts,MA,3,US Senate,Carol Henderson Evans,socialist workers,26283,2491255
1976,Massachusetts,MA,3,US Senate,scatter,,157,2491255
1976,Massachusetts,MA,3,US Senate,Michael S. Robertson,republican,722641,2491255
1976,Massachusetts,MA,3,US Senate,H. Graham Lowry,u.s. labor,15517,2491255
1976,Massachusetts,MA,3,US Senate,Edward M. Kennedy,democrat,1726657,2491255
1976,Michigan,MI,23,US Senate,Bette Jane Erwin,libertarian,8842,3490412
1976,Michigan,MI,23,US Senate,Theodore G. Albert,human rights,7281,3490412
1976,Michigan,MI,23,US Senate,Marvin L. Esch,republican,1635087,3490412
1976,Michigan,MI,23,US Senate,"Donald W. Riegle, Jr.",democrat,1831031,3490412
1976,Michigan,MI,23,US Senate,Frank Girard,socialist labor,2554,3490412
1976,Michigan,MI,23,US Senate,Paula L. Reimers,socialist workers,3399,3490412
1976,Michigan,MI,23,US Senate,Peter A. Signorelli,u.s. labor,2218,3490412
1976,Minnesota,MN,33,US Senate,Robin E. Miller,libertarian,5476,1912020
1976,Minnesota,MN,33,US Senate,Bill Peterson,socialist workers,9380,1912020
1976,Minnesota,MN,33,US Senate,Matt Savola,communist,2214,1912020
1976,Minnesota,MN,33,US Senate,Jerry Brekke,republican,478602,1912020
1976,Minnesota,MN,33,US Senate,Paul Helm,american,125612,1912020
1976,Minnesota,MN,33,US Senate,Hubert H. Humphrey,democrat,1290736,1912020
1976,Mississippi,MS,46,US Senate,John C. Stennis,democrat,554433,554433
1976,Missouri,MO,34,US Senate,John C. Danforth,republican,1090067,1914460
1976,Missouri,MO,34,US Senate,Warren E. Hearnes,democrat,813571,1914460
1976,Missouri,MO,34,US Senate,Lawrene (Red) Petty,independent,10822,1914460
1976,Montana,MT,64,US Senate,Stanley C. Burger,republican,115213,321445
1976,Montana,MT,64,US Senate,John Melcher,democrat,206232,321445
1976,Nebraska,NE,35,US Senate,NA,NA,58,593310
1976,Nebraska,NE,35,US Senate,scatter,,163,593310
1976,Nebraska,NE,35,US Senate,John Y. McCollister,republican,279284,593310
1976,Nebraska,NE,35,US Senate,Edward Zorinsky,democrat,313805,593310
1976,Nevada,NV,65,US Senate,Byron D. Young,independent american,3619,201899
1976,Nevada,NV,65,US Senate,David Towell,republican,63471,201899
1976,Nevada,NV,65,US Senate,Other,,5288,201899
1976,Nevada,NV,65,US Senate,Dan Becan,libertarian,2307,201899
1976,Nevada,NV,65,US Senate,Howard W. Cannon,democrat,127214,201899
1976,New Jersey,NJ,12,US Senate,Leif Johnson,labor,6650,2771390
1976,New Jersey,NJ,12,US Senate,Hannibal Cundari,libertarian,19907,2771390
1976,New Jersey,NJ,12,US Senate,"Harrison A. Williams, Jr.",democrat,1681140,2771390
1976,New Jersey,NJ,12,US Senate,Bernardo S. Doganiero,socialist labor,9185,2771390
1976,New Jersey,NJ,12,US Senate,David F. Norcross,republican,1054508,2771390
1976,New Mexico,NM,66,US Senate,Ernesto B. Borunda,la raza unida,1087,413056
1976,New Mexico,NM,66,US Senate,Joseph M. Montoya,democrat,176382,413056
1976,New Mexico,NM,66,US Senate,"Malcolm ""Matt"" Dillon",american,906,413056
1976,New Mexico,NM,66,US Senate,"Harrison ""Jack"" Schmitt",republican,234681,413056
1976,New York,NY,13,US Senate,Marcia Gallo,socialist workers,16350,6666875
1976,New York,NY,13,US Senate,Daniel Patrick Moynihan,liberal,184083,6666875
1976,New York,NY,13,US Senate,James L. Buckley,conservative,311494,6666875
1976,New York,NY,13,US Senate,Elijah C. Boyd,labor,6716,6666875
1976,New York,NY,13,US Senate,Herbert Aptheker,communist,25141,6666875
1976,New York,NY,13,US Senate,Martin E. Nixon,libertarian,10943,6666875
1976,New York,NY,13,US Senate,Other,,348498,6666875
1976,New York,NY,13,US Senate,James L. Buckley,republican,2525139,6666875
1976,New York,NY,13,US Senate,Daniel Patrick Moynihan,democrat,3238511,6666875
1976,North Dakota,ND,36,US Senate,Robert Stroup,republican,103466,283062
1976,North Dakota,ND,36,US Senate,Quentin N. Burdick,democrat,175772,283062
1976,North Dakota,ND,36,US Senate,Clarence Haggard,american,3824,283062
1976,Ohio,OH,24,US Senate,Emma Lila Fundaburk,independent,33285,3920613
1976,Ohio,OH,24,US Senate,Howard M. Metzenbaum,democrat,1941113,3920613
1976,Ohio,OH,24,US Senate,"Robert Taft, Jr.",republican,1823774,3920613
1976,Ohio,OH,24,US Senate,Melisa Singler,socialist workers,31805,3920613
1976,Ohio,OH,24,US Senate,Donald E. Babcock,american,36979,3920613
1976,Ohio,OH,24,US Senate,John O'Neill,independent,53657,3920613
1976,Pennsylvania,PA,14,US Senate,H. John Heinz III,republican,2381891,4546353
1976,Pennsylvania,PA,14,US Senate,Frederick W. Stanton,socialist workers,5484,4546353
1976,Pennsylvania,PA,14,US Senate,Bernard Salera,labor,3637,4546353
1976,Pennsylvania,PA,14,US Senate,Frank Kinces,communist,2097,4546353
1976,Pennsylvania,PA,14,US Senate,Andrew J. Watson,constitution,26028,4546353
1976,Pennsylvania,PA,14,US Senate,William J. Green,democrat,2126977,4546353
1976,Pennsylvania,PA,14,US Senate,Other,,239,4546353
1976,Rhode Island,RI,5,US Senate,Richard P. Lorber,democrat,167665,398906
1976,Rhode Island,RI,5,US Senate,John H. Chafee,republican,230329,398906
1976,Rhode Island,RI,5,US Senate,Margaret R. Cann,communist,912,398906
1976,Tennessee,TN,54,US Senate,Mark Clark Bates,independent,5137,1432046
1976,Tennessee,TN,54,US Senate,Willie C. Jacox,independent,1406,1432046
1976,Tennessee,TN,54,US Senate,NA,NA,31,1432046
1976,Tennessee,TN,54,US Senate,James R. Sasser,democrat,751180,1432046
1976,Tennessee,TN,54,US Senate,Arnold Joseph Zandie,independent,1061,1432046
1976,Tennessee,TN,54,US Senate,Bill Brock,republican,673231,1432046
1976,Texas,TX,49,US Senate,Pedro Vasquez,socialist workers,20549,3874230
1976,Texas,TX,49,US Senate,Marjorie P. Gallion,american,17355,3874230
1976,Texas,TX,49,US Senate,Alan Steelman,republican,1636370,3874230
1976,Texas,TX,49,US Senate,Lloyd Bentsen,democrat,2199956,3874230
1976,Utah,UT,67,US Senate,Steve Trotter,libertarian,3026,522108
1976,Utah,UT,67,US Senate,George Merl Batchelor,american,4913,522108
1976,Utah,UT,67,US Senate,Orrin G. Hatch,republican,290221,522108
1976,Utah,UT,67,US Senate,Frank E. Moss,democrat,223948,522108
1976,Vermont,VT,6,US Senate,Robert T. Stafford,republican,94481,189060
1976,Vermont,VT,6,US Senate,scatter,,96,189060
1976,Vermont,VT,6,US Senate,Thomas P. Salmon,democrat,85682,189060
1976,Vermont,VT,6,US Senate,Nancy Kaufman,liberty union,8801,189060
1976,Virginia,VA,40,US Senate,NA,NA,154,1557500
1976,Virginia,VA,40,US Senate,Martin H. Perper,independent,70559,1557500
1976,Virginia,VA,40,US Senate,E. R. (Bud) Zumwalt,democrat,596009,1557500
