year,state,state_po,state_ic,office,candidate,party,candidatevotes,totalvotes
1976,Alabama,AL,41,US President,"Carter, Jimmy",democrat,659170,1182850
1976,Alabama,AL,41,US President,"Ford, Gerald",republican,504070,1182850
1976,Alabama,AL,41,US President,"Maddox, Lester",american independent party,9198,1182850
1976,Alabama,AL,41,US President,"Bubar, Benjamin """"Ben""""",prohibition,6669,1182850
1976,Alabama,AL,41,US President,"Hall, Gus",communist party use,1954,1182850
1976,Alabama,AL,41,US President,"Macbride, Roger",libertarian,1481,1182850
1976,Alabama,AL,41,US President,,,308,1182850
1976,Alaska,AK,81,US President,"Ford, Gerald",republican,71555,123574
1976,Alaska,AK,81,US President,"Carter, Jimmy",democrat,44058,123574
1976,Alaska,AK,81,US President,"Macbride, Roger",libertarian,6785,123574
1976,Alaska,AK,81,US President,,,1176,123574
1976,Arizona,AZ,61,US President,"Ford, Gerald",republican,418642,742719
1976,Arizona,AZ,61,US President,"Carter, Jimmy",democrat,295602,742719
1976,Arizona,AZ,61,US President,"McCarthy, Eugene """"Gene""""",independent,19229,742719
1976,Arizona,AZ,61,US President,"Macbride, Roger",libertarian,7647,742719
1976,Arizona,AZ,61,US President,"Camejo, Peter",socialist workers,928,742719
1976,Arizona,AZ,61,US President,"Anderson, Thomas J.",american,564,742719
1976,Arizona,AZ,61,US President,"Maddox, Lester",american independent party,85,742719
1976,Arizona,AZ,61,US President,,,22,742719
1976,Arkansas,AR,42,US President,"Carter, Jimmy",democrat,498604,767535
1976,Arkansas,AR,42,US President,"Ford, Gerald",republican,267903,767535
1976,Arkansas,AR,42,US President,,independent,639,767535
1976,Arkansas,AR,42,US President,"Maddox, Lester",american independent party,389,767535
1976,California,CA,71,US President,"Ford, Gerald",republican,3882244,7803770
1976,California,CA,71,US President,"Carter, Jimmy",democrat,3742284,7803770
1976,California,CA,71,US President,"Macbride, Roger",independent,56388,7803770
1976,California,CA,71,US President,"Maddox, Lester",american independent party,51098,7803770
1976,California,CA,71,US President,"Wright, Margaret",peace & freedom,41731,7803770
1976,California,CA,71,US President,"Camejo, Peter",independent,17259,7803770
1976,California,CA,71,US President,"Hall, Gus",independent,12766,7803770
1976,Colorado,CO,62,US President,"Ford, Gerald",republican,584278,1081440
1976,Colorado,CO,62,US President,"Carter, Jimmy",democrat,460801,1081440
1976,Colorado,CO,62,US President,"McCarthy, Eugene """"Gene""""",independent,26047,1081440
1976,Colorado,CO,62,US President,"Macbride, Roger",libertarian,5338,1081440
1976,Colorado,CO,62,US President,"Bubar, Benjamin """"Ben""""",prohibition,2886,1081440
1976,Colorado,CO,62,US President,"Camejo, Peter",socialist workers,1122,1081440
1976,Colorado,CO,62,US President,"Larouche, Lyndon, Jr.",u.s. labor,565,1081440
1976,Colorado,CO,62,US President,"Hall, Gus",communist party use,403,1081440
1976,Connecticut,CT,1,US President,"Ford, Gerald",republican,719261,1386355
1976,Connecticut,CT,1,US President,"Carter, Jimmy",democrat,647895,1386355
1976,Connecticut,CT,1,US President,Scattering,,10309,1386355
1976,Connecticut,CT,1,US President,"Maddox, Lester",american independent party,7101,1386355
1976,Connecticut,CT,1,US President,"Larouche, Lyndon, Jr.",u.s. labor,1789,1386355
1976,Delaware,DE,11,US President,"Carter, Jimmy",democrat,122461,235642
1976,Delaware,DE,11,US President,"Ford, Gerald",republican,109780,235642
1976,Delaware,DE,11,US President,,no party affiliation,2432,235642
1976,Delaware,DE,11,US President,"Anderson, Thomas J.",american,645,235642
1976,Delaware,DE,11,US President,"Larouche, Lyndon, Jr.",u.s. labor,135,235642
1976,Delaware,DE,11,US President,"Bubar, Benjamin """"Ben""""",prohibition,103,235642
1976,Delaware,DE,11,US President,,socialist labor,86,235642
1976,District of Columbia,DC,55,US President,"Carter, Jimmy",democrat,137818,168830
1976,District of Columbia,DC,55,US President,"Ford, Gerald",republican,27873,168830
1976,District of Columbia,DC,55,US President,Other,,1656,168830
1976,District of Columbia,DC,55,US President,,independent,1195,168830
1976,District of Columbia,DC,55,US President,,,288,168830
1976,Florida,FL,43,US President,"Carter, Jimmy",democrat,1636000,3150631
1976,Florida,FL,43,US President,"Ford, Gerald",republican,1469531,3150631
1976,Florida,FL,43,US President,"McCarthy, Eugene """"Gene""""",independent,23643,3150631
1976,Florida,FL,43,US President,"Anderson, Thomas J.",american,21325,3150631
1976,Florida,FL,43,US President,,,132,3150631
1976,Georgia,GA,44,US President,"Carter, Jimmy",democrat,979409,1463152
1976,Georgia,GA,44,US President,"Ford, Gerald",republican,483743,1463152
1976,Hawaii,HI,82,US President,"Carter, Jimmy",democrat,147375,291301
1976,Hawaii,HI,82,US President,"Ford, Gerald",republican,140003,291301
1976,Hawaii,HI,82,US President,"Macbride, Roger",libertarian,3923,291301
1976,Idaho,ID,63,US President,"Ford, Gerald",republican,204151,340932
1976,Idaho,ID,63,US President,"Carter, Jimmy",democrat,126549,340932
1976,Idaho,ID,63,US President,"Maddox, Lester",american,5935,340932
1976,Idaho,ID,63,US President,"Macbride, Roger",libertarian,3558,340932
1976,Idaho,ID,63,US President,"Larouche, Lyndon, Jr.",u.s. labor,739,340932
1976,Illinois,IL,21,US President,"Ford, Gerald",republican,2364269,4721282
1976,Illinois,IL,21,US President,"Carter, Jimmy",democrat,2271295,4721282
1976,Illinois,IL,21,US President,"McCarthy, Eugene """"Gene""""",independent,55939,4721282
1976,Illinois,IL,21,US President,"Hall, Gus",communist party use,9250,4721282
1976,Illinois,IL,21,US President,"Macbride, Roger",libertarian,8057,4721282
1976,Illinois,IL,21,US President,,,4417,4721282
1976,Illinois,IL,21,US President,"Camejo, Peter",socialist workers,3615,4721282
1976,Illinois,IL,21,US President,"Julius """"Jules"""", Levin",socialist labor,2422,4721282
1976,Illinois,IL,21,US President,"Larouche, Lyndon, Jr.",u.s. labor,2018,4721282
1976,Indiana,IN,22,US President,"Ford, Gerald",republican,1183958,2220362
1976,Indiana,IN,22,US President,"Carter, Jimmy",democrat,1014714,2220362
1976,Indiana,IN,22,US President,"Anderson, Thomas J.",american,14048,2220362
1976,Indiana,IN,22,US President,"Camejo, Peter",socialist workers,5695,2220362
1976,Indiana,IN,22,US President,"Larouche, Lyndon, Jr.",u.s. labor,1947,2220362
1976,Iowa,IA,31,US President,"Ford, Gerald",republican,632864,1279303
1976,Iowa,IA,31,US President,"Carter, Jimmy",democrat,619931,1279303
1976,Iowa,IA,31,US President,"McCarthy, Eugene """"Gene""""",independent,20057,1279303
1976,Iowa,IA,31,US President,"Anderson, Thomas J.",american party of iowa,3041,1279303
1976,Iowa,IA,31,US President,"Macbride, Roger",libertarian,1454,1279303
1976,Iowa,IA,31,US President,"Hall, Gus",communist party use,551,1279303
1976,Iowa,IA,31,US President,Scattering,,509,1279303
1976,Iowa,IA,31,US President,"Camejo, Peter",socialist workers,262,1279303
1976,Iowa,IA,31,US President,"Larouche, Lyndon, Jr.",u.s. labor,241,1279303
1976,Iowa,IA,31,US President,"Zeidler, Frank",socialist u.s.a.,233,1279303
1976,Iowa,IA,31,US President,"Julius """"Jules"""", Levin",socialist labor,160,1279303
1976,Kansas,KS,32,US President,"Ford, Gerald",republican,502752,957845
1976,Kansas,KS,32,US President,"Carter, Jimmy",democrat,430421,957845
1976,Kansas,KS,32,US President,"McCarthy, Eugene """"Gene""""",independent,13185,957845
1976,Kansas,KS,32,US President,"Anderson, Thomas J.",american,4724,957845
1976,Kansas,KS,32,US President,"Macbride, Roger",independent,3242,957845
1976,Kansas,KS,32,US President,"Maddox, Lester",conservative,2118,957845
1976,Kansas,KS,32,US President,"Bubar, Benjamin """"Ben""""",prohibition,1403,957845
1976,Kentucky,KY,51,US President,"Carter, Jimmy",democrat,615717,1167142
1976,Kentucky,KY,51,US President,"Ford, Gerald",republican,531852,1167142
1976,Kentucky,KY,51,US President,"Anderson, Thomas J.",american,8308,1167142
1976,Kentucky,KY,51,US President,"McCarthy, Eugene """"Gene""""",independent,6837,1167142
1976,Kentucky,KY,51,US President,"Maddox, Lester",american independent party,2328,1167142
1976,Kentucky,KY,51,US President,"Macbride, Roger",libertarian,814,1167142
1976,Kentucky,KY,51,US President,"Larouche, Lyndon, Jr.",u.s. labor,510,1167142
1976,Kentucky,KY,51,US President,"Hall, Gus",communist party use,426,1167142
1976,Kentucky,KY,51,US President,"Camejo, Peter",socialist workers,350,1167142
1976,Louisiana,LA,45,US President,"Carter, Jimmy",democrat,661365,1277383
1976,Louisiana,LA,45,US President,"Ford, Gerald",republican,587446,1277383
1976,Louisiana,LA,45,US President,"Maddox, Lester",american independent party,10058,1277383
1976,Louisiana,LA,45,US President,"Hall, Gus",communist party use,7417,1277383
1976,Louisiana,LA,45,US President,"McCarthy, Eugene """"Gene""""",independent,6490,1277383
1976,Louisiana,LA,45,US President,"Macbride, Roger",libertarian,3134,1277383
1976,Louisiana,LA,45,US President,"Camejo, Peter",socialist workers,1473,1277383
1976,Maine,ME,2,US President,"Ford, Gerald",republican,236320,482968
1976,Maine,ME,2,US President,"Carter, Jimmy",democrat,232279,482968
1976,Maine,ME,2,US President,"McCarthy, Eugene """"Gene""""",independent,10874,482968
1976,Maine,ME,2,US President,"Bubar, Benjamin """"Ben""""",prohibition,3495,482968
1976,Maryland,MD,52,US President,"Carter, Jimmy",democrat,759612,1432273
1976,Maryland,MD,52,US President,"Ford, Gerald",republican,672661,1432273
1976,Massachusetts,MA,3,US President,"Carter, Jimmy",democrat,1429475,2547558
1976,Massachusetts,MA,3,US President,"Ford, Gerald",republican,1030276,2547558
1976,Massachusetts,MA,3,US President,"McCarthy, Eugene """"Gene""""",independent,65637,2547558
1976,Massachusetts,MA,3,US President,"Camejo, Peter",socialist workers,8138,2547558
1976,Massachusetts,MA,3,US President,"Anderson, Thomas J.",american,7555,2547558
1976,Massachusetts,MA,3,US President,"Larouche, Lyndon, Jr.",u.s. labor,4922,2547558
1976,Massachusetts,MA,3,US President,Scattering,,1401,2547558
1976,Massachusetts,MA,3,US President,"Macbride, Roger",libertarian,135,2547558
1976,Massachusetts,MA,3,US President,"Julius """"Jules"""", Levin",socialist labor,19,2547558
1976,Michigan,MI,23,US President,"Ford, Gerald",republican,1893742,3651590
1976,Michigan,MI,23,US President,"Carter, Jimmy",democrat,1696714,3651590
